date,nfp,nfp1mdelta,gs10
1/1/2001,132703,-13,5.16
2/1/2001,132788,85,5.10
3/1/2001,132751,-37,4.89
4/1/2001,132457,-294,5.14
5/1/2001,132409,-48,5.39
6/1/2001,132299,-110,5.28
7/1/2001,132171,-128,5.24
8/1/2001,132021,-150,4.97
9/1/2001,131763,-258,4.73
10/1/2001,131452,-311,4.57
11/1/2001,131144,-308,4.65
12/1/2001,130983,-161,5.09
1/1/2002,130859,-124,5.04
2/1/2002,130736,-123,4.91
3/1/2002,130722,-14,5.28
4/1/2002,130615,-107,5.21
5/1/2002,130632,17,5.16
6/1/2002,130673,41,4.93
7/1/2002,130583,-90,4.65
8/1/2002,130582,-1,4.26
9/1/2002,130503,-79,3.87
10/1/2002,130617,114,3.94
11/1/2002,130616,-1,4.05
12/1/2002,130465,-151,4.03
1/1/2003,130573,108,4.05
2/1/2003,130441,-132,3.90
3/1/2003,130235,-206,3.81
4/1/2003,130172,-63,3.96
5/1/2003,130196,24,3.57
6/1/2003,130185,-11,3.33
7/1/2003,130184,-1,3.98
8/1/2003,130153,-31,4.45
9/1/2003,130253,100,4.27
10/1/2003,130440,187,4.29
11/1/2003,130481,41,4.30
12/1/2003,130589,108,4.27
1/1/2004,130756,167,4.15
2/1/2004,130820,64,4.08
3/1/2004,131139,319,3.83
4/1/2004,131412,273,4.35
5/1/2004,131697,285,4.72
6/1/2004,131794,97,4.73
7/1/2004,131853,59,4.50
8/1/2004,131940,87,4.28
9/1/2004,132091,151,4.13
10/1/2004,132431,340,4.10
11/1/2004,132504,73,4.19
12/1/2004,132629,125,4.23
1/1/2005,132781,152,4.22
2/1/2005,133033,252,4.17
3/1/2005,133152,119,4.50
4/1/2005,133519,367,4.34
5/1/2005,133689,170,4.14
6/1/2005,133947,258,4.00
7/1/2005,134300,353,4.18
8/1/2005,134503,203,4.26
9/1/2005,134554,51,4.20
10/1/2005,134643,89,4.46
11/1/2005,134999,356,4.54
12/1/2005,135158,159,4.47
1/1/2006,135426,268,4.42
2/1/2006,135731,305,4.57
3/1/2006,136036,305,4.72
4/1/2006,136208,172,4.99
5/1/2006,136249,41,5.11
6/1/2006,136335,86,5.11
7/1/2006,136529,194,5.09
8/1/2006,136693,164,4.88
9/1/2006,136829,136,4.72
10/1/2006,136846,17,4.73
11/1/2006,137061,215,4.60
12/1/2006,137249,188,4.56
1/1/2007,137472,223,4.76
2/1/2007,137558,86,4.72
3/1/2007,137782,224,4.56
4/1/2007,137845,63,4.69
5/1/2007,137993,148,4.75
6/1/2007,138069,76,5.10
7/1/2007,138044,-25,5.00
8/1/2007,138013,-31,4.67
9/1/2007,138101,88,4.52
10/1/2007,138177,76,4.53
11/1/2007,138291,114,4.15
12/1/2007,138395,104,4.10
1/1/2008,138391,-4,3.74
2/1/2008,138327,-64,3.74
3/1/2008,138257,-70,3.51
4/1/2008,138038,-219,3.68
5/1/2008,137851,-187,3.88
6/1/2008,137698,-153,4.10
7/1/2008,137498,-200,4.01
8/1/2008,137211,-287,3.89
9/1/2008,136762,-449,3.69
10/1/2008,136293,-469,3.81
11/1/2008,135543,-750,3.53
12/1/2008,134847,-696,2.42
1/1/2009,134078,-769,2.52
2/1/2009,133317,-761,2.87
3/1/2009,132492,-825,2.82
4/1/2009,131821,-671,2.93
5/1/2009,131468,-353,3.29
6/1/2009,131007,-461,3.72
7/1/2009,130662,-345,3.56
8/1/2009,130472,-190,3.59
9/1/2009,130247,-225,3.40
10/1/2009,130062,-185,3.39
11/1/2009,130058,-4,3.40
12/1/2009,129808,-250,3.59
1/1/2010,129802,-6,3.73
2/1/2010,129705,-97,3.69
3/1/2010,129865,160,3.73
4/1/2010,130120,255,3.85
5/1/2010,130643,523,3.42
6/1/2010,130509,-134,3.20
7/1/2010,130415,-94,3.01
8/1/2010,130416,1,2.70
9/1/2010,130342,-74,2.65
10/1/2010,130621,279,2.54
11/1/2010,130749,128,2.76
12/1/2010,130830,81,3.29
1/1/2011,130837,7,3.39
2/1/2011,131056,219,3.58
3/1/2011,131282,226,3.41
4/1/2011,131597,315,3.46
5/1/2011,131704,107,3.17
6/1/2011,131931,227,3.00
7/1/2011,131993,62,3.00
8/1/2011,132125,132,2.30
9/1/2011,132344,219,1.98
10/1/2011,132553,209,2.15
11/1/2011,132690,137,2.01
12/1/2011,132888,198,1.98
1/1/2012,133245,357,1.97
2/1/2012,133508,263,1.97
3/1/2012,133748,240,2.17
4/1/2012,133825,77,2.05
5/1/2012,133933,108,1.80
6/1/2012,134012,79,1.62
7/1/2012,134157,145,1.53
8/1/2012,134338,181,1.68
9/1/2012,134517,179,1.72
10/1/2012,134668,151,1.75
11/1/2012,134825,157,1.65
12/1/2012,135074,249,1.72
1/1/2013,135257,183,1.91
2/1/2013,135545,288,1.98
3/1/2013,135689,144,1.96
4/1/2013,135873,184,1.76
5/1/2013,136095,222,1.93
6/1/2013,136279,184,2.30
7/1/2013,136391,112,2.58
8/1/2013,136646,255,2.74
9/1/2013,136821,175,2.81
10/1/2013,137041,220,2.62
11/1/2013,137316,275,2.72
12/1/2013,137373,57,2.90
1/1/2014,137561,188,2.86
2/1/2014,137712,151,2.71
3/1/2014,137985,273,2.72
4/1/2014,138297,312,2.71
5/1/2014,138512,215,2.56
6/1/2014,138849,337,2.60
7/1/2014,139073,224,2.54
8/1/2014,139269,196,2.42
9/1/2014,139563,294,2.53
10/1/2014,139797,234,2.30
11/1/2014,140090,293,2.33
12/1/2014,140364,274,2.21
1/1/2015,140568,204,1.88
2/1/2015,140827,259,1.98
3/1/2015,140923,96,2.04
4/1/2015,141196,273,1.94
5/1/2015,141538,342,2.20
6/1/2015,141709,171,2.36
7/1/2015,141991,282,2.32
8/1/2015,142125,134,2.17
9/1/2015,142275,150,2.17
10/1/2015,142579,304,2.07
11/1/2015,142808,229,2.26
12/1/2015,143077,269,2.24
1/1/2016,143210,133,2.09
2/1/2016,143407,197,1.78
3/1/2016,143662,255,1.89
4/1/2016,143855,193,1.81
5/1/2016,143900,45,1.81
6/1/2016,144146,246,1.64
7/1/2016,144520,374,1.50
8/1/2016,144662,142,1.56
9/1/2016,144967,305,1.63
10/1/2016,145066,99,1.76
11/1/2016,145183,117,2.14
12/1/2016,145408,225,2.49
1/1/2017,145628,220,2.43
2/1/2017,145848,220,2.42
3/1/2017,145969,121,2.48
4/1/2017,146174,205,2.30
5/1/2017,146380,206,2.30
6/1/2017,146583,203,2.19
7/1/2017,146772,189,2.32
8/1/2017,146919,147,2.21
9/1/2017,147007,88,2.20
10/1/2017,147150,143,2.36
11/1/2017,147373,223,2.35
12/1/2017,147523,150,2.40
1/1/2018,147660,137,2.58
2/1/2018,148054,394,2.86
3/1/2018,148280,226,2.84
4/1/2018,148422,142,2.87
