date,nfp,nfp1mdelta
Jan-01,132703,-13
Feb-01,132788,85
Mar-01,132751,-37
Apr-01,132457,-294
May-01,132409,-48
Jun-01,132299,-110
Jul-01,132171,-128
Aug-01,132021,-150
Sep-01,131763,-258
Oct-01,131452,-311
Nov-01,131144,-308
Dec-01,130983,-161
Jan-02,130859,-124
Feb-02,130736,-123
Mar-02,130722,-14
Apr-02,130615,-107
May-02,130632,17
Jun-02,130673,41
Jul-02,130583,-90
Aug-02,130582,-1
Sep-02,130503,-79
Oct-02,130617,114
Nov-02,130616,-1
Dec-02,130465,-151
Jan-03,130573,108
Feb-03,130441,-132
Mar-03,130235,-206
Apr-03,130172,-63
May-03,130196,24
Jun-03,130185,-11
Jul-03,130184,-1
Aug-03,130153,-31
Sep-03,130253,100
Oct-03,130440,187
Nov-03,130481,41
Dec-03,130589,108
Jan-04,130756,167
Feb-04,130820,64
Mar-04,131139,319
Apr-04,131412,273
May-04,131697,285
Jun-04,131794,97
Jul-04,131853,59
Aug-04,131940,87
Sep-04,132091,151
Oct-04,132431,340
Nov-04,132504,73
Dec-04,132629,125
Jan-05,132781,152
Feb-05,133033,252
Mar-05,133152,119
Apr-05,133519,367
May-05,133689,170
Jun-05,133947,258
Jul-05,134300,353
Aug-05,134503,203
Sep-05,134554,51
Oct-05,134643,89
Nov-05,134999,356
Dec-05,135158,159
Jan-06,135426,268
Feb-06,135731,305
Mar-06,136036,305
Apr-06,136208,172
May-06,136249,41
Jun-06,136335,86
Jul-06,136529,194
Aug-06,136693,164
Sep-06,136829,136
Oct-06,136846,17
Nov-06,137061,215
Dec-06,137249,188
Jan-07,137472,223
Feb-07,137558,86
Mar-07,137782,224
Apr-07,137845,63
May-07,137993,148
Jun-07,138069,76
Jul-07,138044,-25
Aug-07,138013,-31
Sep-07,138101,88
Oct-07,138177,76
Nov-07,138291,114
Dec-07,138395,104
Jan-08,138391,-4
Feb-08,138327,-64
Mar-08,138257,-70
Apr-08,138038,-219
May-08,137851,-187
Jun-08,137698,-153
Jul-08,137498,-200
Aug-08,137211,-287
Sep-08,136762,-449
Oct-08,136293,-469
Nov-08,135543,-750
Dec-08,134847,-696
Jan-09,134078,-769
Feb-09,133317,-761
Mar-09,132492,-825
Apr-09,131821,-671
May-09,131468,-353
Jun-09,131007,-461
Jul-09,130662,-345
Aug-09,130472,-190
Sep-09,130247,-225
Oct-09,130062,-185
Nov-09,130058,-4
Dec-09,129808,-250
Jan-10,129802,-6
Feb-10,129705,-97
Mar-10,129865,160
Apr-10,130120,255
May-10,130643,523
Jun-10,130509,-134
Jul-10,130415,-94
Aug-10,130416,1
Sep-10,130342,-74
Oct-10,130621,279
Nov-10,130749,128
Dec-10,130830,81
Jan-11,130837,7
Feb-11,131056,219
Mar-11,131282,226
Apr-11,131597,315
May-11,131704,107
Jun-11,131931,227
Jul-11,131993,62
Aug-11,132125,132
Sep-11,132344,219
Oct-11,132553,209
Nov-11,132690,137
Dec-11,132888,198
Jan-12,133245,357
Feb-12,133508,263
Mar-12,133748,240
Apr-12,133825,77
May-12,133933,108
Jun-12,134012,79
Jul-12,134157,145
Aug-12,134338,181
Sep-12,134517,179
Oct-12,134668,151
Nov-12,134825,157
Dec-12,135074,249
Jan-13,135257,183
Feb-13,135545,288
Mar-13,135689,144
Apr-13,135873,184
May-13,136095,222
Jun-13,136279,184
Jul-13,136391,112
Aug-13,136646,255
Sep-13,136821,175
Oct-13,137041,220
Nov-13,137316,275
Dec-13,137373,57
Jan-14,137561,188
Feb-14,137712,151
Mar-14,137985,273
Apr-14,138297,312
May-14,138512,215
Jun-14,138849,337
Jul-14,139073,224
Aug-14,139269,196
Sep-14,139563,294
Oct-14,139797,234
Nov-14,140090,293
Dec-14,140364,274
Jan-15,140568,204
Feb-15,140827,259
Mar-15,140923,96
Apr-15,141196,273
May-15,141538,342
Jun-15,141709,171
Jul-15,141991,282
Aug-15,142125,134
Sep-15,142275,150
Oct-15,142579,304
Nov-15,142808,229
Dec-15,143077,269
Jan-16,143210,133
Feb-16,143407,197
Mar-16,143662,255
Apr-16,143855,193
May-16,143900,45
Jun-16,144146,246
Jul-16,144520,374
Aug-16,144662,142
Sep-16,144967,305
Oct-16,145066,99
Nov-16,145183,117
Dec-16,145408,225
Jan-17,145628,220
Feb-17,145848,220
Mar-17,145969,121
Apr-17,146174,205
May-17,146380,206
Jun-17,146583,203
Jul-17,146772,189
Aug-17,146919,147
Sep-17,147007,88
Oct-17,147150,143
Nov-17,147373,223
Dec-17,147523,150
Jan-18,147660,137
Feb-18,148054,394
Mar-18,148280,226
Apr-18,148422,142
May-18,148740,318
Jun-18,148959,219
