year,month,womemp
2015,M01,68681
2015,M02,69119
2015,M03,69456
2015,M04,69881
2015,M05,70187
2015,M06,70190
2015,M07,69186
2015,M08,69386
2015,M09,70102
2015,M10,70903
2015,M11,71295
2015,M12,71418
2016,M01,70089
2016,M02,70571
2016,M03,70991
2016,M04,71412
2016,M05,71644
2016,M06,71691
2016,M07,70788
2016,M08,71097
2016,M09,71829
2016,M10,72478
2016,M11,72821
2016,M12,72833
2017,M01,71441
2017,M02,71977
2017,M03,72205
2017,M04,72542
2017,M05,72802
2017,M06,72798
2017,M07,71816
2017,M08,72104
2017,M09,72699
2017,M10,73397
2017,M11,73873
2017,M12,73854
2018,M01,72438
2018,M02,73102
2018,M03,73382
2018,M04,73752
2018,M05,74146
2018,M06,74213
2018,M07,73151
2018,M08,73554
2018,M09,74124
2018,M10,74852
2018,M11,75302
2018,M12,75276
2019,M01,73887
2019,M02,74422
2019,M03,74724
2019,M04,75142
2019,M05,75395
2019,M06,75421
2019,M07,74481
2019,M08,74873
2019,M09,75516
2019,M10,76238
2019,M11,76711
2019,M12,76751
2020,M01,75394
2020,M02,75911
2020,M03,75301
2020,M04,64367
2020,M05,65646
2020,M06,68360
2020,M07,68453
2020,M08,69497
2020,M09,70461
2020,M10,71436
2020,M11,71851
2020,M12,71567
2021,M01,70379
2021,M02,71074
2021,M03,71575
2021,M04,72025
2021,M05,72447
2021,M06,72772
2021,M07,72425
2021,M08,72793
2021,M09,73489
2021,M10,74460
2021,M11,75000
2021,M12,75145
2022,M01,73840
2022,M02,74688
2022,M03,75059
2022,M04,75497
2022,M05,75782
2022,M06,76010
2022,M07,75449
2022,M08,75779
2022,M09,76407
2022,M10,77154
2022,M11,77599
2022,M12,77530
2023,M01,76324
2023,M02,76931
2023,M03,77109
2023,M04,77434
2023,M05,77762
2023,M06,77828
2023,M07,77016
2023,M08,77296
2023,M09,77937
2023,M10,78571
2023,M11,78937
2023,M12,78964
2024,M01,77643
2024,M02,78232
2024,M03,78456
2024,M04,78725
2024,M05,78987
2024,M06,78963
2024,M07,78077
2024,M08,78379
2024,M09,78985
2024,M10,79533
2024,M11,79877
2024,M12,79921
2025,M01,78631
