Date,ndfpp,ndoil
Jan-1981,33.39,3787
Feb-1981,37.79,3493
Mar-1981,41.77,3790
Apr-1981,37.36,3805
May-1981,36.35,3974
Jun-1981,35.17,3839
Jul-1981,32.62,3841
Aug-1981,34.25,3836
Sep-1981,34.58,3789
Oct-1981,34.62,3879
Nov-1981,35.12,3626
Dec-1981,34.5,3765
Jan-1982,34.59,3543
Feb-1982,33.62,3409
Mar-1982,32.01,3807
Apr-1982,31.02,3740
May-1982,31.61,3932
Jun-1982,31.13,3905
Jul-1982,30.77,4048
Aug-1982,31.17,4141
Sep-1982,31.38,4068
Oct-1982,32.29,4180
Nov-1982,32.38,4119
Dec-1982,31.42,4379
Jan-1983,31.56,4330
Feb-1983,29.53,3983
Mar-1983,29.36,4419
Apr-1983,28.87,4269
May-1983,28.59,4244
Jun-1983,28.81,4154
Jul-1983,28.93,4247
Aug-1983,29.04,4204
Sep-1983,29.03,4164
Oct-1983,29.08,4339
Nov-1983,29.56,4184
Dec-1983,28.82,4153
Jan-1984,28.94,4321
Feb-1984,28.97,4159
Mar-1984,28.75,4461
Apr-1984,28.73,4261
May-1984,28.72,4431
Jun-1984,28.78,4337
Jul-1984,28.7,4533
Aug-1984,28.58,4579
Sep-1984,28.35,4332
Oct-1984,28.52,4515
Nov-1984,26.98,4299
Dec-1984,26.56,4424
Jan-1985,25.34,4367
Feb-1985,24.54,3919
Mar-1985,25.11,4425
Apr-1985,25.24,4259
May-1985,25.62,4347
Jun-1985,25.07,4257
Jul-1985,25.09,4332
Aug-1985,25.1,4346
Sep-1985,25.21,4184
Oct-1985,25.37,4318
Nov-1985,25.89,4097
Dec-1985,26.18,4006
Jan-1986,24.51,4139
Feb-1986,17.8,3758
Mar-1986,11.84,4065
Apr-1986,10.81,3908
May-1986,11.56,3979
Jun-1986,12.22,3786
Jul-1986,10.46,3777
Aug-1986,11.72,3727
Sep-1986,12.79,3527
Oct-1986,12.54,3666
Nov-1986,12.55,3599
Dec-1986,13.09,3697
Jan-1987,15.41,3659
Feb-1987,15.89,3291
Mar-1987,15.8,3617
Apr-1987,16.02,3514
May-1987,16.66,3546
Jun-1987,17.24,3382
Jul-1987,18.17,3509
Aug-1987,18.29,3382
Sep-1987,17.42,3338
Oct-1987,17.37,3399
Nov-1987,16.96,3290
Dec-1987,15.91,3424
Jan-1988,15.19,3356
Feb-1988,14.96,3159
Mar-1988,14.08,3379
Apr-1988,15.32,3292
May-1988,15.5,3413
Jun-1988,14.83,3289
Jul-1988,13.43,3348
Aug-1988,13.32,3324
Sep-1988,12.79,3174
Oct-1988,11.84,3292
Nov-1988,11.55,3146
Dec-1988,13.31,3171
Jan-1989,15.31,3178
Feb-1989,15.44,2827
Mar-1989,16.87,3149
Apr-1989,18.2,2989
May-1989,17.76,3089
Jun-1989,17.58,2943
Jul-1989,17.57,3133
Aug-1989,16.04,3098
Sep-1989,16.95,2980
Oct-1989,17.74,3159
Nov-1989,17.51,3084
Dec-1989,18.46,3115
Jan-1990,19.87,3121
Feb-1990,19.65,2827
Mar-1990,18.16,3137
Apr-1990,16.16,3026
May-1990,15.92,3121
Jun-1990,14.65,2994
Jul-1990,16.05,3071
Aug-1990,24.36,3103
Sep-1990,30.41,3020
Oct-1990,33.38,3139
Nov-1990,30.07,3059
Dec-1990,24.34,3099
Jan-1991,22.08,3120
Feb-1991,18.12,2847
Mar-1991,17.36,3146
Apr-1991,18.14,3033
May-1991,18.5,3139
Jun-1991,17.56,2997
Jul-1991,18.72,3075
Aug-1991,18.96,3037
Sep-1991,19.06,2827
Oct-1991,20.38,2928
Nov-1991,19.74,2821
Dec-1991,16.84,2921
Jan-1992,16.26,2878
Feb-1992,16.43,2707
Mar-1992,16.32,2861
Apr-1992,17.72,2745
May-1992,18.39,2807
Jun-1992,19.86,2685
Jul-1992,19.21,2755
Aug-1992,18.85,2772
Sep-1992,19.4,2679
Oct-1992,19.21,2737
Nov-1992,17.92,2605
Dec-1992,16.93,2662
Jan-1993,16.56,2664
Feb-1993,17.39,2441
Mar-1993,17.68,2694
Apr-1993,17.55,2553
May-1993,16.99,2636
Jun-1993,15.85,2573
Jul-1993,14.59,2625
Aug-1993,14.63,2587
Sep-1993,14.06,2548
Oct-1993,14.23,2626
Nov-1993,12.59,2478
Dec-1993,10.39,2490
Jan-1994,11.73,2370
Feb-1994,11.5,2122
Mar-1994,11.36,2341
Apr-1994,12.98,2280
May-1994,15.05,2380
Jun-1994,16.16,2270
Jul-1994,16.69,2333
Aug-1994,15.23,2326
Sep-1994,14.32,2246
Oct-1994,14.65,2339
Nov-1994,14.97,2244
Dec-1994,14.03,2324
Jan-1995,15.04,2431
Feb-1995,15.74,2194
Mar-1995,15.58,2479
Apr-1995,17.01,2508
May-1995,16.77,2498
Jun-1995,15.56,2345
Jul-1995,14.43,2418
Aug-1995,15.1,2494
Sep-1995,15.41,2418
Oct-1995,14.66,2526
Nov-1995,15.16,2471
Dec-1995,16.43,2552
Jan-1996,16.23,2565
Feb-1996,16.13,2419
Mar-1996,18.5,2663
Apr-1996,20.46,2618
May-1996,18.5,2708
Jun-1996,17.82,2674
Jul-1996,18.68,2807
Aug-1996,19.37,2820
Sep-1996,21.28,2761
Oct-1996,22.38,2872
Nov-1996,20.99,2674
Dec-1996,22.32,2734
Jan-1997,22.29,2767
Feb-1997,19.49,2614
Mar-1997,18.15,2862
Apr-1997,17.18,2817
May-1997,18.13,3072
Jun-1997,16.3,2983
Jul-1997,16.6,3079
Aug-1997,16.79,3108
Sep-1997,16.71,3042
Oct-1997,18.3,3185
Nov-1997,17.16,3108
Dec-1997,15.34,3196
Jan-1998,13.69,3139
Feb-1998,13.05,2727
Mar-1998,11.92,3039
Apr-1998,12.33,3023
May-1998,11.68,3115
Jun-1998,10.29,2977
Jul-1998,10.91,2986
Aug-1998,10.37,2972
Sep-1998,11.87,2849
Oct-1998,11.48,2968
Nov-1998,10.18,2871
Dec-1998,8.62,2897
Jan-1999,9.52,2822
Feb-1999,9.17,2550
Mar-1999,11.72,2809
Apr-1999,14.24,2732
May-1999,15.2,2820
Jun-1999,15.33,2726
Jul-1999,17.38,2783
Aug-1999,18.68,2741
Sep-1999,20.86,2651
Oct-1999,20.67,2786
Nov-1999,22.89,2682
Dec-1999,24.02,2781
Jan-2000,24.97,2766
Feb-2000,27.41,2627
Mar-2000,28.04,2818
Apr-2000,23.75,2722
May-2000,26.95,2804
Jun-2000,29.27,2698
Jul-2000,28.04,2748
Aug-2000,29.1,2713
Sep-2000,31.57,2668
Oct-2000,30.86,2805
Nov-2000,32.27,2630
Dec-2000,26.26,2720
Jan-2001,27.25,2763
Feb-2001,27.56,2480
Mar-2001,25.02,2739
Apr-2001,25.03,2635
May-2001,26.08,2742
Jun-2001,25,2567
Jul-2001,24.04,2674
Aug-2001,24.96,2675
Sep-2001,24.05,2576
Oct-2001,19.65,2653
Nov-2001,17.52,2560
Dec-2001,16.8,2627
Jan-2002,17.16,2624
Feb-2002,17.9,2404
Mar-2002,21.9,2628
Apr-2002,23.58,2533
May-2002,24.63,2611
Jun-2002,24.39,2505
Jul-2002,25.02,2583
Aug-2002,26.04,2647
Sep-2002,27.44,2539
Oct-2002,27.21,2613
Nov-2002,25.95,2535
Dec-2002,26.58,2580
Jan-2003,29.98,2556
Feb-2003,32.98,2316
Mar-2003,32.33,2531
Apr-2003,28.33,2405
May-2003,26.88,2462
Jun-2003,28.22,2398
Jul-2003,29.28,2484
Aug-2003,29.83,2481
Sep-2003,27.45,2422
Oct-2003,28.36,2458
Nov-2003,28.2,2399
Dec-2003,29.52,2497
Jan-2004,30.9,2454
Feb-2004,32.31,2306
Mar-2004,33.9,2546
Apr-2004,34.8,2497
May-2004,36.61,2603
Jun-2004,34.84,2533
Jul-2004,37.68,2593
Aug-2004,42.48,2673
Sep-2004,43.9,2610
Oct-2004,47.78,2734
Nov-2004,48.57,2735
Dec-2004,42.61,2868
Jan-2005,42.34,2797
Feb-2005,45.01,2590
Mar-2005,49.03,2957
Apr-2005,47.64,2820
May-2005,47.45,2889
Jun-2005,50.2,2869
Jul-2005,54.84,3039
Aug-2005,59.34,3097
Sep-2005,61.22,3041
Oct-2005,59.72,3188
Nov-2005,55.91,3155
Dec-2005,53.85,3232
Jan-2006,56.41,3024
Feb-2006,51.7,2886
Mar-2006,48.36,3253
Apr-2006,57.43,3076
May-2006,61.52,3368
Jun-2006,62.37,3319
Jul-2006,66.44,3391
Aug-2006,65.91,3452
Sep-2006,57.79,3355
Oct-2006,50.68,3495
Nov-2006,49.4,3432
Dec-2006,51.7,3540
Jan-2007,46.59,3549
Feb-2007,50.16,3253
Mar-2007,52.75,3632
Apr-2007,56.09,3533
May-2007,57.92,3706
Jun-2007,62.32,3640
Jul-2007,68.84,3807
Aug-2007,67.9,3831
Sep-2007,71,3780
Oct-2007,76.49,3977
Nov-2007,85.1,3894
Dec-2007,80.69,4186
Jan-2008,84.86,4233
Feb-2008,85.97,3975
Mar-2008,97.99,4428
Apr-2008,107.01,4488
May-2008,118.06,4807
Jun-2008,126.68,4946
Jul-2008,126.53,5322
Aug-2008,107.33,5506
Sep-2008,93.42,5656
Oct-2008,67.36,6285
Nov-2008,45.29,6433
Dec-2008,27.86,6243
Jan-2009,29.73,5821
Feb-2009,31.26,5385
Mar-2009,41.77,6055
Apr-2009,44.68,5907
May-2009,51.19,6384
Jun-2009,61.04,6458
Jul-2009,56.19,7069
Aug-2009,61.97,7204
Sep-2009,61.29,7141
Oct-2009,66.15,7460
Nov-2009,67.54,7397
